age,class,coninc,degree,educ,fechld,gunlaw,happy,satfin,sex,sibs,tvhours,wrkfull,healthre,female,maritals,healthy,vistzoo
47,3,163843.847,3,16,1,1,2,1,1,2,1,1,3,0,1,1,3
72,3,59895,3,16,,1,1,2,1,3,,0,3,0,1,1,
43,3,163843.847,1,12,3,2,2,1,2,3,1,0,3,1,1,1,1
55,3,163843.847,4,18,,1,1,1,2,2,,0,4,1,1,1,
50,3,163843.847,1,14,2,1,2,3,1,2,2,1,1,0,1,0,1
23,2,23595,1,11,,1,1,2,2,6,,0,3,1,1,1,
45,1,49005,1,12,2,1,2,3,1,5,2,1,3,0,1,1,1
71,3,49005,2,14,,1,2,2,1,1,,0,3,0,0,1,
86,3,363,1,12,2,1,3,1,2,4,5,0,1,1,0,0,0
33,2,39930,1,13,,1,2,3,2,1,,1,4,1,0,1,
56,2,39930,1,13,,1,1,2,1,3,,0,4,0,1,1,
43,1,19965,1,13,2,1,2,3,1,0,3,1,3,0,0,1,0
32,2,32670,0,11,,2,2,2,2,4,,0,4,1,0,1,
37,2,49005,1,12,,1,1,3,2,2,,0,4,1,1,1,
25,2,15427.5,2,15,,1,2,2,2,2,,1,2,1,0,0,
71,3,,4,19,2,1,1,,1,1,3,0,4,0,1,1,2
75,3,23595,1,12,,1,3,2,2,7,,0,3,1,0,1,
68,3,49005,1,12,,1,2,1,2,3,,1,3,1,1,1,
55,3,116160,1,12,2,2,2,1,1,7,1,1,3,0,1,1,0
46,2,59895,1,14,,1,2,3,1,0,,0,2,0,1,0,
58,2,32670,1,12,4,1,3,3,2,0,2,0,2,1,0,0,0
43,2,87120,3,16,1,1,2,2,2,6,2,1,3,1,1,1,2
58,3,87120,3,16,,1,1,1,2,1,,1,4,1,0,1,
40,2,32670,1,12,,1,2,3,2,2,,1,3,1,0,1,
44,2,27225,1,12,3,1,3,3,2,9,3,0,3,1,1,1,0
36,3,23595,4,20,,1,3,2,2,1,,1,3,1,0,1,
28,4,59895,1,15,,1,1,1,1,8,,1,2,0,0,0,
33,3,39930,4,16,1,1,3,1,1,1,0,1,3,0,1,1,0
23,3,23595,3,17,,1,2,1,1,1,,0,4,0,0,1,
70,3,59895,1,12,1,1,2,2,2,1,2,0,4,1,1,1,2
41,4,163843.847,4,19,,1,1,1,1,1,,1,3,0,1,1,
53,3,,3,16,4,1,1,1,2,5,0,0,4,1,1,1,0
59,,6534,4,20,,1,2,3,2,1,,1,4,1,0,1,
35,1,9982.5,0,10,2,1,2,3,2,4,2,0,3,1,0,1,0
26,3,15427.5,1,13,,1,2,2,1,2,,1,4,0,0,1,
51,1,6534,1,12,,,,2,2,9,,0,2,1,0,0,
